morpheme;key;type;function;position;transitivity;nature;plural;antipassive;V-form;V-actions;V-action1;V-action2;t-form;t-actions;t-action1;t-action2;k-form;k-actions;k-action1;k-action2;q-form;q-actions;q-action1;q-action2;engMean;freMean;condPrec;condPrecTrans;condOnNext;sources;composition;dialect;mobility
qammaq;1;sn;nn;t;;;;;qammaq;n;n;;qammaq;s;s;;qammaq;s;s;;qammaq;s;s;;poor, bad, worthless;pauvre, de mauvaise qualité, sans valeur;;;;H1;;;m
qammaq;2;sv;vv;m;n;;;;qammaq;n;n;;qammaq;s;s;;qammaq;s;s;;qammaq;s;s;;poorly, in a bad way;pauvrement, mal (qualité);;;;H1;;;m
qaq;1;sn;nv;m;i;;;;qaq;n;n;;qaq;s;s;;qaq;s;s;;qaq;s;s;;to have, to possess;avoir, posséder;;;;H1;;;m
qarvik;1;sn;nn;t;;;;;qarvik;n;n;;qarvik;s;s;;qarvik;s;s;;qarvik;s;s;;a place for, a place to keep;un endroit pour, ou pour garder;;;;H1;qaq/1nv+vik/3vn;;m
qatau;1;sv;vv;m;i;;;;qatau;n;n;;qatau;s;s;;qatau;s;s;;qatau;s;s;;to be accompanying in action: 'to go along';accompagner dans l'action;;;;H1;;;m
qatauti;1;sv;vv;m;i;;;;qatauti;n;n;;qatauti;s;s;;qatauti;s;s;;qatauti;s;s;;mutual action: 'each other';action mutuelle: 'l'un l'autre';;;;H1;;;m
qati;1;sv;vn;t;;;;;qati qatik;n n;n;;qati qatik;s s;s;;qati qatik;s s;s;;qati qatik;s s;s;;partner for;partenaire pour;;;;H1;;;m
qati;1;sn;nn;t;;;;;qati rqati;n n;n;;qati rqati;s s;s;;qati rqati;s s;s;;qati rqati;s s;s;;s.o. who has the same, who is the same;qquun qui a le même ..., qui est le même;;;;S1;;;m
qattaq;1;sv;vv;m;n;;;;qattaq;n;n;;qattaq;s;s;;qattaq;s;s;;qattaq;s;s;;regular or habitual action;;;;;;;;
qauq;1;sn;nv;m;i;;;;qauq;n;n;;qauq;s;s;;qauq;s;s;;qauq;s;s;;to possess many ...;posséder plusieurs ...;;;;H1;qaq/1nv+uq/3vv;;m
qauti;1;sn;nn;t;;;;;qauti;n;n;;qauti;s;s;;qauti;s;s;;qauti;s;s;;container for ...;contenant pour ...;;;;H1;qaq/1nv+ut/1vn;;m
qi;1;sv;vv;m;n;;;;qi;n;n;;qi;s;s;;qi;s;s;;qi;s;s;;to do s.t. by oneself;faire qqchose par soi-même;;;;S1;;;m
qqaaq;1;sv;vv;m;n;;;;qqaaq;n;n;;qqaaq;s;s;;qqaaq;s;s;;qqaaq;s;s;;first (before doing anything else);;;;;;;;
qqau;1;sv;vv;m;n;;;;qqau;n;n;;qqau;s;s;;qqau;s;s;;qqau;s;s;;recent perceived past;passé récent perçu;;;;H1;;;m
qqautau;1;sv;vv;m;n;;;;qqautau;n;n;;qqautau;s;s;;qqautau;s;s;;qqautau;s;s;;to be the first one(s) to do s.t.;être le(s) premier(s) à faire qqchose;;;;A1;;;m
