morpheme,type,mode,specificity,perSubject,numbSubject,perObject,numbObject,V-form,V-action1,V-action2,t-form,t-action1,t-action2,k-form,k-action1,k-action2,q-form,q-action1,q-action2,condPrecSpecific,sources
linga,tv,imp,sp,3,s,1,s,,n,,,son,,,son,,,son,,,?
lagit,tv,imp,sp,1,s,2,s,,n,,,son,,,son,,,son,,,?
litit,tv,imp,sp,3,s,2,s,,n,,,son,,,son,,,son,,,?
lagu,tv,imp,sp,1,s,3,s,,n,,,son,,,son,,,son,,,?
guk,tv,imp,sp,2,s,3,s,,n,,juk,a,,,fus,,ruk,fus,,,?
liuk,tv,imp,sp,3,s,3,s,,n,,,son,,,son,,,son,,,?
tiguk,tv,imp,sp,2,s,1,d,,n,,,n,,,n,,,n,,,?
litiguk,tv,imp,sp,3,s,1,d,,n,,,son,,,son,,,son,,,?
lassik,tv,imp,sp,1,s,2,d,,n,,,son,,,son,,,son,,,?
litik,tv,imp,sp,3,s,2,d,,n,,,son,,,son,,,son,,,?
laakka,tv,imp,sp,1,s,3,d,,n,,,son,,,son,,,son,,,?
kkik,tv,imp,sp,2,s,3,d,,n,,,s,,,s,,,s,,,?
likkik,tv,imp,sp,3,s,3,d,,n,,,son,,,son,,,son,,,?
tigut,tv,imp,sp,2,s,1,p,,n,,,n,,,n,,,n,,,?
litigut,tv,imp,sp,3,s,1,p,,n,,,son,,,son,,,son,,,?
lassi,tv,imp,sp,1,s,2,p,,n,,,son,,,son,,,son,,,?
lisi,tv,imp,sp,3,s,2,p,,n,,,son,,,son,,,son,,,?
lakka,tv,imp,sp,1,s,3,p,,n,,,son,,,son,,,son,,,?
kkit,tv,imp,sp,2,s,3,p,,n,,,s,,,s,,,s,,,?
ligit,tv,imp,sp,3,s,3,p,,n,,,son,,,son,,,son,,,?
ttinga,tv,imp,sp,2,d,1,s,,n,,,s,,,s,,,s,,,?
linga,tv,imp,sp,3,d,1,s,,n,,,son,,,son,,,son,,,?
lattigit,tv,imp,sp,1,d,2,s,,n,,,son,,,son,,,son,,,?
litit,tv,imp,sp,3,d,2,s,,n,,,son,,,son,,,son,,,?
