morpheme,variant,nb,type,transitivity,nature,number,compositionRoot,plural,intransSuffix,transSuffix,antipassive,engMean,freMean,source,dialect,cf,END
aksuq,,1,n,,,,,,,,,effort,,,,,
aktaq,,1,v,i,,,,,,,,to throw out the garbage,jeter les ordures dehors,,,,.
akti,,1,v,i,a,,,,,,,to be large in size,être de grande taille,,,,.
aktit,,1,v,i,,,,,,,,"to break up the ice at one's mouth by flowing in the spring, speaking of a river",briser la glace à son embouchure en recommençant à couler au printemps (une rivière),,,,.
aktuq,,1,v,t,,,,,,,i/1vv,to /touch s.t.,/toucher qqch.,,,,.
aktuq,,1,n,,,,,,,,,sea animal large of its kind,animal marin de grande taille par rapport à la moyenne de son espèce,,,,.
aku,,1,n,,,,,,,,,that in the middle of s.t.,"ce qui est dans le milieu, le centre de qqch.",,,,.
akui,,1,v,i,,,,,,,,to fetch caribou from cache,récupérer un caribou de la cache,,,,.
akuk,,1,v,t,,,,,,,si/1vv,[-R]to /mix or /stir s.t. up,"[-R]/tourner, /remuer qqch. pour le mélanger",,,,.
akunat,,1,v,i,,,,,,,,"to be blowing hard at sea, speaking of the wind",souffler fort sur la mer (vent),,,,.
akuq,,1,v,t,,,,,,,si/1vv i/1vv,[-R]to /catch s.t.,[-R]/attraper qqch.,,,,.
akuq,,2,n,,ana,,,,,,,seal's thigh,cuisse de phoque,,,,.
akuq,,1,n,,,,,,,,,back flap of Eskimo tunic,pan arrière d'une tunique eskimaude,,,,.
ala,,1,n,,,,,,,,,boot over-sole,semelle de botte,,,,.
alaniq,,1,n,,,,,,,,,shade side or side away from the sun,partie à l'ombre ou éloignée du soleil,,,,.
alaq,,1,v,i,,,,,,nil,,to turn one's eyes away (trans.: from s.t.),détourner les yeux (trans.: de qqch.),,,,.
alia,,1,v,i,e,,,,gusuk/1vv,gi/4vv,,to be afraid,,,,,
aliguq,,1,n,,,,,,,,,glass,,,,,
alik,,1,v,t,res,,,,,,,to /rip or /tear s.t.,/déchirer qqch.,,,,.
aliq,,1,n,,,,,,,,,harpoon line for whales and walrus,fil de harpon à baleine et à morse,,,,.
aliqaq,,1,n,,,,,,,,,elder sister of a man,soeur aînée d'un homme,,,,.
alirti,,1,n,,,,,,,,,sock,,,,,
allak,,1,v,i,,,,,,nil,,to write or draw (trans.: s.t.),écrire ou dessiner,,,,.
allaq,,1,v,i,a,,,,,,,"to be clear, speaking of the sky",être clair (le ciel),,,,.
alliaq,,1,n,,,,,,,,,lower bedding skin,peau inférieure d'une couchette,,,,.
alliq,,1,n,,,,,,,,,the bottom one,,,,,
